"species","decimalLatitude","decimalLongitude","country","eventDate"
"Apis mellifera",50.909974,-0.268995,"United Kingdom of Great Britain and Northern Ireland","2025-01-30"
"Apis mellifera",-37.937779,145.17337,"Australia","2025-01-01T07:11:59"
"Apis mellifera",-37.95932,145.070299,"Australia","2025-01-01T07:29:19"
"Apis mellifera",-36.829493,174.426218,"New Zealand","2025-01-01T13:09:15"
"Apis mellifera",-36.935355,149.846633,"Australia","2025-01-01T12:03:59"
"Apis mellifera",-27.53657,153.034028,"Australia","2025-01-01T13:03:53"
"Apis mellifera",-38.286999,145.08104,"Australia","2025-01-01T10:43"
"Apis mellifera",-35.202871,149.11499,"Australia","2025-01-01T18:13:12"
"Apis mellifera",-33.903877,150.964566,"Australia","2025-01-01T16:21:26"
"Apis mellifera",-38.23456,142.263212,"Australia","2025-01-01T12:33:58"
"Apis mellifera",-29.129518,31.385974,"South Africa","2025-01-01T12:23:29"
"Apis mellifera",-33.677762,115.494992,"Australia","2025-01-01T19:06:04"
"Apis mellifera",38.794594,-0.400263,"Spain","2025-01-01T13:09:10"
"Apis mellifera",38.794474,-0.400135,"Spain","2025-01-01T13:40:32"
"Apis mellifera",-22.889133,-47.721782,"Brazil","2025-01-01T11:33"
"Apis mellifera",-31.926645,115.813988,"Australia","2025-01-01T21:03:10"
"Apis mellifera",-31.92667,115.81402,"Australia","2025-01-01T22:08:48"
"Apis mellifera",36.831578,-2.70168,"Spain","2025-01-01T12:52"
"Apis mellifera",41.517194,-8.787478,"Portugal","2025-01-01T16:50:18Z"
"Apis mellifera",26.520411,-78.772453,"Bahamas","2025-01-01T12:50:04"
"Apis mellifera",-40.479566,-73.634614,"Chile","2025-01-01T15:02"
"Apis mellifera",37.890841,-122.161577,"United States of America","2025-01-01T10:48:35"
"Apis mellifera",20.799086,-103.476026,"Mexico","2025-01-01T14:07:33"
"Apis mellifera",18.516487,-77.818528,"Jamaica","2025-01-01T09:27:53"
"Apis mellifera",25.962077,-80.348185,"United States of America","2025-01-01T11:57:09"
"Apis mellifera",31.693656,-106.2026,"United States of America","2025-01-01T12:19:22"
"Apis mellifera",-16.741931,-49.297246,"Brazil","2025-01-01T13:14"
"Apis mellifera",33.661216,-117.840428,"United States of America","2025-01-01T10:39"
"Apis mellifera",4.825705,-52.497808,"French Guiana","2025-01-01T18:29"
"Apis mellifera",34.017708,-118.364983,"United States of America","2025-01-01T13:36:33"
"Apis mellifera",-36.608731,-72.963642,"Chile","2025-01-01T18:57:17"
"Apis mellifera",16.273017,-86.599258,"Honduras","2025-01-01T15:27:57"
"Apis mellifera",38.914386,-95.241175,"United States of America","2025-01-01T16:25:59"
"Apis mellifera",29.574436,-98.56433,"United States of America","2025-01-01T15:01"
"Apis mellifera",30.204206,-98.080076,"United States of America","2025-01-01T12:37"
"Apis mellifera",-36.92018,174.797317,"New Zealand","2025-01-02T12:14:17"
"Apis mellifera",30.30451,-81.627332,"United States of America","2025-01-01T13:27"
"Apis mellifera",-41.260913,173.099258,"New Zealand","2025-01-02T12:09:10"
"Apis mellifera",25.886155,-80.174958,"United States of America","2025-01-01T14:09"
"Apis mellifera",21.27369,-157.824464,"United States of America","2025-01-01T19:46:34"
"Apis mellifera",34.284329,-118.870162,"United States of America","2025-01-01T12:07:56"
"Apis mellifera",21.335606,-157.83242,"United States of America","2025-01-01T14:45"
"Apis mellifera",-25.539512,152.696087,"Australia","2025-01-01T08:25"
"Apis mellifera",-20.370864,-40.303896,"Brazil","2025-01-01T17:57"
"Apis mellifera",-33.710812,151.075882,"Australia","2025-01-02T14:17:29"
"Apis mellifera",17.757195,-88.024742,"Belize","2025-01-01T07:01"
"Apis mellifera",-33.750672,150.687674,"Australia","2025-01-02T12:55:06"
"Apis mellifera",21.300299,-157.800967,"United States of America","2025-01-01T09:40:24"
"Apis mellifera",29.668861,-81.213398,"United States of America","2025-01-01T15:00"
"Apis mellifera",21.32784,-157.785572,"United States of America","2025-01-01T11:35:27"
"Apis mellifera",-38.004753,144.410675,"Australia","2025-01-02T10:51:16"
"Apis mellifera",-34.477055,150.759247,"Australia","2025-01-01T18:18:14"
"Apis mellifera",32.360703,-110.93011,"United States of America","2025-01-01T13:34:15"
"Apis mellifera",43.259618,25.141191,"Bulgaria","2025-01-01T15:01:39"
"Apis mellifera",37.726525,-122.059617,"United States of America","2025-01-01T15:18:10"
"Apis mellifera",-37.670628,144.870803,"Australia","2025-01-02T15:14"
"Apis mellifera",-32.171997,115.661732,"Australia","2025-01-01T15:46"
"Apis mellifera",39.478072,-8.540443,"Portugal","2025-01-01T13:49Z"
"Apis mellifera",37.014972,-4.567969,"Spain","2025-01-02T13:45"
"Apis mellifera",-18.677204,-39.862237,"Brazil","2025-01-02T13:28:43"
"Apis mellifera",-33.417122,-71.699142,"Chile","2025-01-02T13:48:47"
"Apis mellifera",29.160011,-95.020701,"United States of America","2025-01-02T08:27:07"
"Apis mellifera",27.005595,-82.182507,"United States of America","2025-01-02T13:44:02"
"Apis mellifera",-28.578852,153.258342,"Australia","2025-01-02T14:20:57"
"Apis mellifera",27.786255,-82.671989,"United States of America","2025-01-02T14:18:57"
"Apis mellifera",27.786255,-82.671989,"United States of America","2025-01-02T14:31:51"
"Apis mellifera",32.195487,-116.913351,"Mexico","2025-01-01T15:20:13"
"Apis mellifera",21.503522,-158.147595,"United States of America","2025-01-01T12:35"
"Apis mellifera",30.340675,-97.578184,"United States of America","2025-01-02T14:17:42"
"Apis mellifera",-27.556459,153.073702,"Australia","2025-01-03T07:33:55"
"Apis mellifera",44.850365,11.409835,"Italy","2025-01-02T14:38"
"Apis mellifera",-37.951503,145.053876,"Australia","2025-01-03T09:17:49"
"Apis mellifera",18.393463,-77.060112,"Jamaica","2025-01-02T12:40"
"Apis mellifera",-37.80713,145.084393,"Australia","2025-01-03T09:50:58"
"Apis mellifera",-37.893656,145.115321,"Australia","2025-01-03T09:51:09"
"Apis mellifera",-37.802626,145.183011,"Australia","2025-01-03T09:51:27"
"Apis mellifera",-37.814372,145.186679,"Australia","2025-01-03T09:55:42"
"Apis mellifera",-37.964401,145.196209,"Australia","2025-01-03T09:56"
"Apis mellifera",-37.936748,145.084423,"Australia","2025-01-03T10:15:27"
"Apis mellifera",-37.83608,145.057393,"Australia","2025-01-03T10:25:35"
"Apis mellifera",-37.808414,145.080426,"Australia","2025-01-03T10:26:01"
"Apis mellifera",15.979868,-97.668605,"Mexico","2025-01-02T17:17:49"
"Apis mellifera",38.619439,-121.274074,"United States of America","2025-01-02T15:17:01"
"Apis mellifera",25.815431,-77.946663,"Bahamas","2025-01-01T11:27"
"Apis mellifera",19.684177,-101.181529,"Mexico","2025-01-02T13:15"
"Apis mellifera",-35.034007,138.670487,"Australia","2025-01-03T12:48:33"
"Apis mellifera",33.584191,-117.735477,"United States of America","2025-01-02T13:56"
