iso,year,loss__ha
AFG,2001,88.09271247
AGO,2001,101220.6215
AIA,2001,3.878460708
ALA,2001,396.9348257
ALB,2001,3729.021031
AND,2001,1.654212948
ARG,2001,147805.9504
ARM,2001,131.8406123
ATG,2001,24.07418944
AUS,2001,218816.3021
AUT,2001,6926.269008
AZE,2001,553.2993561
BDI,2001,1417.246957
BEL,2001,971.4881953
BEN,2001,3749.331105
BES,2001,3.031857253
BFA,2001,59.47710511
BGD,2001,4586.997203
BGR,2001,8202.319112
BHS,2001,432.9994197
BIH,2001,1496.107105
BLR,2001,18358.96428
BLZ,2001,8211.629493
BMU,2001,0.195819794
BOL,2001,140321.2605
BRA,2001,2746361.557
BRB,2001,12.36746156
BRN,2001,1244.453823
BTN,2001,297.6596315
BWA,2001,130.9838815
CAF,2001,31282.43685
CAN,2001,1358154.799
CHE,2001,1165.213247
CHL,2001,72711.30281
CHN,2001,230289.1153
CIV,2001,122711.4502
CMR,2001,39203.71718
COD,2001,455516.739
COG,2001,27030.69622
COL,2001,230054.8357
COM,2001,36.97369321
CPV,2001,7.136450794
CRI,2001,15461.87945
CUB,2001,18942.90878
CUW,2001,0.902788526
CYM,2001,20.6816122
CYP,2001,78.62890207
CZE,2001,3460.142586
DEU,2001,15286.38057
DMA,2001,22.79275551
DNK,2001,4329.295853
DOM,2001,11246.81007
DZA,2001,3468.760252
ECU,2001,45002.46871
EGY,2001,147.7649427
ERI,2001,2.529524333
ESP,2001,32811.05352
EST,2001,16872.43451
ETH,2001,11947.24724
FIN,2001,151003.2605
FJI,2001,1097.764054
FRA,2001,34420.96339
GAB,2001,15082.63773
GBR,2001,23244.12725
GEO,2001,666.5563666
GGY,2001,0.957678036
GHA,2001,43644.05617
GIB,2001,0.187285637
GIN,2001,18571.52586
GLP,2001,320.7023856
GMB,2001,3.297421863
GNB,2001,2362.153028
GNQ,2001,3585.419101
GRC,2001,12616.82202
GRD,2001,32.81085887
GTM,2001,53310.17515
GUF,2001,3033.287749
GUY,2001,10039.86771
HKG,2001,7.981291214
HND,2001,42380.17446
HRV,2001,3378.489604
HTI,2001,2469.048298
HUN,2001,7522.059332
IDN,2001,744087.9891
IMN,2001,15.97543762
IND,2001,62361.1745
IRL,2001,9559.474141
IRN,2001,332.4837054
IRQ,2001,16.02663642
ISR,2001,145.9652381
ITA,2001,9871.496932
JAM,2001,1246.241523
JEY,2001,3.696338871
JOR,2001,0.522028031
JPN,2001,23977.46162
KAZ,2001,4534.702741
KEN,2001,19027.21105
KGZ,2001,589.226356
KHM,2001,28491.44387
KNA,2001,45.60965868
KOR,2001,5503.445335
LAO,2001,36474.65075
LBN,2001,299.4042676
LBR,2001,29185.67018
